DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
1,1,0,0001-01,Aitkin Public School District,306 2nd St NW,Aitkin,MN,56431-1289,"Aitkin County, MN",,2702760,10001000000,247002
1,1,1,0001-01-001,Aitkin Secondary School,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 7-12,270276000000,10001001000,240020
1,1,2,0001-01-002,Rippleside Elementary,225 2nd Ave SW,Aitkin,MN,56431,"Aitkin County, MN", EC-6,270276000000,10001002000,
1,1,6,0001-01-006,Aitkin Alternative Learning Program,12 7th St NW,Aitkin,MN,56431,"Aitkin County, MN", 7-12,270276000000,10001006000,
1,1,8,0001-01-008,Aitkin ESY,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 1-12,2702760,10001008000,
1,1,8,0001-01-008,Aitkin ESY,306 2nd St NW,Aitkin,MN,56431,"Aitkin County, MN", 1-12,2702760,10001008000,
2,1,0,0002-01,Hill City Public School District,500 Ione Ave,Hill City,MN,55748-9628,"Aitkin County, MN",,2714010,10002000000,247004
2,1,1,0002-01-001,Hill City Elementary,500 Ione Ave,Hill City,MN,55748,"Aitkin County, MN", EC+KG-4,271401000000,10002001000,
2,1,2,0002-01-002,Hill City Middle School,500 Ione Ave,Hill City,MN,55748-9628,"Aitkin County, MN", 5-8,271401000000,10002002000,
2,1,3,0002-01-003,Hill City Senior High,500 Ione Ave,Hill City,MN,55748,"Aitkin County, MN", 9-12,271401000000,10002003000,241105
4,1,0,0004-01,McGregor Public School District,148 S 2nd St,McGregor,MN,55760-1429,"Aitkin County, MN",,2719170,10004000000,247006
4,1,10,0004-01-010,McGregor Elementary,148 S 2nd St,McGregor,MN,55760,"Aitkin County, MN", EC-6,271917000000,10004010000,
4,1,30,0004-01-030,McGregor Area Learning Program,91 S 2nd St,McGregor,MN,55760,"Aitkin County, MN", 8-12,271917000000,10004030000,
4,1,40,0004-01-040,McGregor Secondary,148 S 2nd St,McGregor,MN,55760,"Aitkin County, MN", 7-12,271917000000,10004040000,241530
11,1,0,0011-01,Anoka-Hennepin Public School District,2727 N Ferry St,Anoka,MN,55303-1698,"Anoka County, MN",,2703180,10011000000,247008
11,1,1,0011-01-001,Anoka High School,3939 N 7th Ave,Anoka,MN,55303-1299,"Anoka County, MN", 9-12,270318000000,10011001000,240080
11,1,2,0011-01-002,Coon Rapids High School,2340 Northdale Blvd,Coon Rapids,MN,55433-3097,"Anoka County, MN", 9-12,270318000000,10011002000,240537
11,1,3,0011-01-003,Anoka Middle School for the Arts,1523 5th Ave S,Anoka,MN,55303-2799,"Anoka County, MN", 6-8,270318000000,10011003000,
11,1,4,0011-01-004,Coon Rapids Middle School,11600 Raven St NW,Coon Rapids,MN,55433-3096,"Anoka County, MN", 6-8,270318000000,10011004000,
11,1,6,0011-01-006,Jackson Middle,6000 109th Ave N,Champlin,MN,55316-3499,"Hennepin County, MN", 6-8,270318000000,10011006000,
11,1,90,0011-01-090,Northdale Middle,11301 Dogwood St NW,Coon Rapids,MN,55448-2408,"Anoka County, MN", 6-8,270318000000,10011090000,
11,1,91,0011-01-091,Blaine High School,12555 University Ave NE,Blaine,MN,55434-2199,"Anoka County, MN", 9-12,270318000000,10011091000,240256
11,1,94,0011-01-094,Andover High School,2115 Andover Blvd NW,Andover,MN,55304-3407,"Anoka County, MN", 9-12,270318000000,10011094000,240070
11,1,110,0011-01-110,Anoka-Hennepin Regional High School,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,"Anoka County, MN", 9-12,270318000000,10011110000,240534
11,1,111,0011-01-111,Anoka-Hennepin Regional Night School,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,"Anoka County, MN", 9-12,270318000000,10011111000,
11,1,192,0011-01-192,Champlin Park High School,6025 109th Ave N,Champlin,MN,55316-3488,"Hennepin County, MN", 9-12,270318000000,10011192000,240419
11,1,193,0011-01-193,Oak View Middle,15400 Hanson Blvd,Andover,MN,55304-2648,"Anoka County, MN", 6-8,270318000000,10011193000,
11,1,195,0011-01-195,Roosevelt Middle,650 125th Ave NE,Blaine,MN,55434-3199,"Anoka County, MN", 6-8,270318000000,10011195000,
11,1,198,0011-01-198,Secondary Technical Education Program S.T.E.P.,1353 W Hwy 10,Anoka,MN,55303-1564,"Anoka County, MN", 10-12,270318000000,10011198000,
11,1,400,0011-01-400,Adams Elementary,8989 Sycamore St NW,Coon Rapids,MN,55433-5799,"Anoka County, MN", PK-5,270318000000,10011400000,
11,1,402,0011-01-402,Crooked Lake Elementary,2939 Bunker Lake Blvd NW,Andover,MN,55304-3898,"Anoka County, MN", KG-5,270318000000,10011402000,
11,1,403,0011-01-403,Franklin Elementary,215 W Main St,Anoka,MN,55303-2089,"Anoka County, MN", KG-5,270318000000,10011403000,
11,1,404,0011-01-404,Hamilton Elementary,1374 111th Ave NW,Coon Rapids,MN,55433-4299,"Anoka County, MN", KG-5,270318000000,10011404000,
11,1,405,0011-01-405,"Hoover Elementary - Biomedical, Health Sciences and Engineering",2369 109th Ave NW,Coon Rapids,MN,55433-4194,"Anoka County, MN", KG-5,270318000000,10011405000,
11,1,406,0011-01-406,Jefferson Elementary,11331 Jefferson St NE,Blaine,MN,55434-1899,"Anoka County, MN", KG-5,270318000000,10011406000,
11,1,407,0011-01-407,Johnsville Elementary,991 125th Ave NE,Blaine,MN,55434-3198,"Anoka County, MN", KG-5,270318000000,10011407000,
11,1,408,0011-01-408,Lincoln Elementary,540 S St,Anoka,MN,55303-5208,"Anoka County, MN", KG-5,270318000000,10011408000,
11,1,410,0011-01-410,Madison Elementary,650 Territorial Rd NE,Blaine,MN,55434-2699,"Anoka County, MN", KG-5,270318000000,10011410000,
11,1,411,0011-01-411,McKinley Elementary,1740 Constance Blvd NE,Ham Lake,MN,55304-5697,"Anoka County, MN", KG-5,270318000000,10011411000,
11,1,412,0011-01-412,Mississippi Elementary,10620 Direct River Dr,Coon Rapids,MN,55433-3800,"Anoka County, MN", KG-5,270318000000,10011412000,
11,1,413,0011-01-413,Monroe Elementary,901 Brookdale Dr N,Brooklyn Park,MN,55444-2199,"Hennepin County, MN", KG-5,270318000000,10011413000,
11,1,414,0011-01-414,Morris Bye Elementary,11931 Crooked Lake Blvd,Coon Rapids,MN,55433-1799,"Anoka County, MN", KG-5,270318000000,10011414000,
11,1,417,0011-01-417,Sand Creek Elementary,12156 Olive St NW,Coon Rapids,MN,55448-2148,"Anoka County, MN", KG-5,270318000000,10011417000,
11,1,418,0011-01-418,University Elementary,9901 University Ave NE,Blaine,MN,55434-8050,"Anoka County, MN", EC-5,270318000000,10011418000,
11,1,420,0011-01-420,Wilson Elementary,1025 Sunny Ln N,Anoka,MN,55303-1495,"Anoka County, MN", KG-5,270318000000,10011420000,
11,1,421,0011-01-421,Evergreen Park Elementary,7020 Dupont Ave N,Brooklyn Center,MN,55430-1299,"Hennepin County, MN", PK-5,270318000000,10011421000,
11,1,422,0011-01-422,Eisenhower Elementary,151 Northdale Blvd,Coon Rapids,MN,55448-3359,"Anoka County, MN", KG-5,270318000000,10011422000,
11,1,423,0011-01-423,Ramsey Elementary,15100 Nowthen Blvd,Ramsey,MN,55303-6196,"Anoka County, MN", 1-5,270318000000,10011423000,
11,1,424,0011-01-424,Dayton Elementary,12000 S Diamond Lake Rd,Dayton,MN,55327-9652,"Hennepin County, MN", 1-5,270318000000,10011424000,
11,1,425,0011-01-425,Oxbow Creek Elementary,6505 109th Ave N,Champlin,MN,55316-3471,"Hennepin County, MN", 1-5,270318000000,10011425000,
11,1,426,0011-01-426,Andover Elementary,14950 Hanson Blvd NW,Andover,MN,55304-3455,"Anoka County, MN", KG-5,270318000000,10011426000,
11,1,427,0011-01-427,Rum River Elementary,16950 Verdin St NW,Andover,MN,55304-2027,"Anoka County, MN", KG-5,270318000000,10011427000,
11,1,430,0011-01-430,Champlin/Brooklyn Park Academy for Math and Environmental Science,6100 109th Ave N,Champlin,MN,55316-3440,"Hennepin County, MN", KG-5,270318000000,10011430000,
11,1,431,0011-01-431,Sunrise Elementary,12576 Lever St NE,Blaine,MN,55449,"Anoka County, MN", KG-5,270318000000,10011431000,
11,1,432,0011-01-432,Brookside Elementary,17003 Nowthen Blvd NW,Ramsey,MN,55303,"Anoka County, MN", KG-5,270318000000,10011432000,
11,1,434,0011-01-434,Anoka-Hennepin Technical High School,1355 Hwy 10,Anoka,MN,55303,"Anoka County, MN", 9-12,270318000000,10011434000,
11,1,436,0011-01-436,Bridges,13735 Round Lake Blvd NW,Andover,MN,55304-3650,"Anoka County, MN",12,270318000000,10011436000,
11,1,437,0011-01-437,Early Childhood/Special Education,1902 2nd Ave,Anoka,MN,55303,"Anoka County, MN", EC,270318000000,10011437000,
11,1,438,0011-01-438,Anoka-Hennepin Specialty Program,2727 Ferry St N,Anoka,MN,55303-1687,"Anoka County, MN", 6-12,270318000000,10011438000,972770
11,1,464,0011-01-464,Anthony Louis House,12066 Hwy 65,Blaine,MN,55434-3912,"Anoka County, MN", 3-12,270318000000,10011464000,
11,1,467,0011-01-467,River Trail Learning Center at LO Jacob,1700 Coon Rapids Blvd NW,Coon Rapids,MN,55433,"Anoka County, MN", KG-12,270318000000,10011467000,972487
11,1,468,0011-01-468,Pathways,11238 Crooked Lk Blvd,Coon Rapids,MN,55433,"Anoka County, MN",12,270318000000,10011468000,
11,1,680,0011-01-680,Compass On-Line,1374 Northdale Blvd,Coon Rapids,MN,55448-3143,"Anoka County, MN", KG-12,270318000000,10011680000,972771
11,1,808,0011-01-808,Anoka Elementary Targeted Services,2727 N Ferry St,Anoka,MN,55303-1650,"Anoka County, MN", KG-5,270318000000,10011808000,
11,1,809,0011-01-809,Anoka Secondary Targeted Services,2727 N Ferry St,Anoka,MN,55303-1650,"Anoka County, MN", 6-8,270318000000,10011809000,
11,1,810,0011-01-810,Anoka Extended School Year,2727 N Ferry St,Anoka,MN,55303-1698,"Anoka County, MN", KG-12,2703180,10011810000,
11,1,812,0011-01-812,Compass-Bell Center,1374 Northdale Blvd,Coon Rapids,MN,55448-3143,"Anoka County, MN", 6-12,270318000000,10011812000,
11,1,898,0011-01-898,STEP Ahead High School,1353 West Highway 10,Anoka,MN,55303,"Anoka County, MN", 9-12,270318000000,10011898000,
11,1,975,0011-01-975,Anoka-Hennepin Regional HS Summer Program,1313 Coon Rapids Blvd NW,Coon Rapids,MN,55433-5362,"Anoka County, MN", 8-12,270318000000,10011975000,
12,1,0,0012-01,Centennial Public School District,4707 N Rd,Circle Pines,MN,55014-1545,"Anoka County, MN",,2708100,10012000000,247010
12,1,158,0012-01-158,Pines School - ACS,7555 4th Avenue,Lino Lakes,MN,55014,"Anoka County, MN", 8-12,270810000000,10012158000,
12,1,159,0012-01-159,Pines School - NSP,7555 4th Avenue,Lino Lakes,MN,55014,"Anoka County, MN", 8-12,270810000000,10012159000,
12,1,161,0012-01-161,Pines School - RJC,7555 4th Ave,Lino Lakes,MN,55014,"Anoka County, MN", 8-12,270810000000,10012161000,
12,1,162,0012-01-162,Pines School Day Program,7555 4th Ave,Lino Lakes,MN,55014,"Anoka County, MN", 8-12,270810000000,10012162000,
12,1,164,0012-01-164,Centennial High School,4757 N Rd,Circle Pines,MN,55014-1545,"Anoka County, MN", 9-12,270810000000,10012164000,240452
12,1,166,0012-01-166,Centennial Middle,399 Elm St,Lino Lakes,MN,55014-1269,"Anoka County, MN", 6-8,270810000000,10012166000,
12,1,167,0012-01-167,Centennial Area Learning Center,4881 101st Ln NE,Circle Pines,MN,55014,"Anoka County, MN", 7-12,270810000000,10012167000,973754
12,1,168,0012-01-168,Centennial Targeted Services,4203 Woodland Rd,Circle Pines,MN,55014,"Anoka County, MN", KG-12,270810000000,10012168000,
12,1,169,0012-01-169,Centennial Extended School Year,4707 N Rd,Circle Pines,MN,55014,"Anoka County, MN", 1-12,2708100,10012169000,974981
12,1,170,0012-01-170,CALC Transition,4881 101st Ln NE,Circle Pines,MN,55014,"Anoka County, MN",12,270810000000,10012170000,
12,1,171,0012-01-171,Project Search,4707 N Rd,Circle Pines,MN,55014-1545,"Anoka County, MN",12,270810000000,10012171000,
12,1,510,0012-01-510,Centennial Elementary,4657 North Rd,Circle Pines,MN,55014-1545,"Anoka County, MN", KG-5,270810000000,10012510000,
12,1,511,0012-01-511,Centerville Elementary,1721 Westview Ave,Centerville,MN,55038-9711,"Anoka County, MN", KG-5,270810000000,10012511000,
12,1,512,0012-01-512,Golden Lake Elementary,1 School Rd,Circle Pines,MN,55014-1786,"Anoka County, MN", KG-5,270810000000,10012512000,
12,1,513,0012-01-513,Rice Lake Elementary,575 Birch St,Lino Lakes,MN,55014-1369,"Anoka County, MN", KG-5,270810000000,10012513000,
12,1,514,0012-01-514,Early Childhood Center,575 Birch Street,Lino Lakes,MN,55014,"Anoka County, MN", EC,270810000000,10012514000,
12,1,515,0012-01-515,Blue Heron Elementary,405 Elm St,Lino Lakes,MN,55014-1269,"Anoka County, MN", KG-5,270810000000,10012515000,
13,1,0,0013-01,Columbia Heights Public School District,1440 49th Ave NE,Columbia Heights,MN,55421-1992,"Anoka County, MN",,2709510,10013000000,247012
13,1,16,0013-01-016,Columbia Heights Senior High,1400 49th Ave NE,Columbia Heights,MN,55421,"Anoka County, MN", 9-12,270951000000,10013016000,240520
13,1,17,0013-01-017,Columbia Academy,900 49th Ave NE,Columbia Heights,MN,55421-1710,"Anoka County, MN", 6-8,270951000000,10013017000,
13,1,515,0013-01-515,Highland Elementary,1500 49th Ave NE,Columbia Heights,MN,55421-1991,"Anoka County, MN", EC-5,270951000000,10013515000,
13,1,517,0013-01-517,North Park Elementary,5575 Fillmore St NE,Fridley,MN,55432-5797,"Anoka County, MN", EC-5,270951000000,10013517000,
13,1,520,0013-01-520,Valley View Elementary,800 49th Ave NE,Columbia Heights,MN,55421-1798,"Anoka County, MN", EC-5,270951000000,10013520000,
13,1,810,0013-01-810,Columbia Academy Anchor Program,900 49th Ave NE,Columbia Heights,MN,55421,"Anoka County, MN", 6-8,270951000000,10013810000,
13,1,813,0013-01-813,Early Childhood,1460 49th Ave NE,Columbia Heights,MN,55421-1992,"Anoka County, MN", EC,270951000000,10013813000,
13,1,814,0013-01-814,Columbia Heights Extended Year,1440 49th Ave NE,Columbia Heights,MN,55421,"Anoka County, MN", KG-12,2709510,10013814000,
13,1,815,0013-01-815,Columbia Heights Transition Program,1400 49th Ave NE,Columbia Heights,MN,55421,"Anoka County, MN", 9-12,270951000000,10013815000,
13,1,860,0013-01-860,Anchor,1400 49th AVE NE,Columbia Heights,MN,55421,"Anoka County, MN", 9-12,270951000000,10013860000,
14,1,0,0014-01,Fridley Public School District,6000 W Moore Lake Dr,Fridley,MN,55432-5698,"Anoka County, MN",,2712420,10014000000,247014
14,1,6,0014-01-006,Voluntary Prekindergarten School,6085 7th St NE,Fridley,MN,55432,"Anoka County, MN", EC-PK,271242000000,10014006000,
14,1,22,0014-01-022,Fridley Senior High,6000 W Moore Lake Dr,Fridley,MN,55432,"Anoka County, MN", 9-12,271242000000,10014022000,241612
14,1,23,0014-01-023,Fridley Middle,6100 W Moore Lake Dr,Fridley,MN,55432,"Anoka County, MN", 5-8,271242000000,10014023000,
14,1,546,0014-01-546,Hayes Elementary,615 Mississippi St NE,Fridley,MN,55432,"Anoka County, MN", EC-4,271242000000,10014546000,
14,1,549,0014-01-549,Early Childhood Special Education School,6085 7th St NE,Fridley,MN,55432,"Anoka County, MN", EC,271242000000,10014549000,
14,1,550,0014-01-550,Stevenson Elementary,6080 E River Rd,Fridley,MN,55432,"Anoka County, MN", EC-4,271242000000,10014550000,
14,1,551,0014-01-551,Transitions School,6000 West Moore Lake Drive,Fridley,MN,55432,"Anoka County, MN", 11-12,271242000000,10014551000,
14,1,552,0014-01-552,Fridley Moore Lake Area Learning Center,1317 Rice Creek Road,Fridley,MN,55432,"Anoka County, MN", 9-12,271242000000,10014552000,
14,1,553,0014-01-553,Fridley Extended School Year,6000 West Moore Lake Dr,Fridley,MN,55432,"Anoka County, MN", EC-12,2712420,10014553000,
14,1,632,0014-01-632,Fridley Targeted Services,6100 W Moore Lake Dr,Fridley,MN,55432,"Anoka County, MN", KG-8,271242000000,10014632000,
14,1,652,0014-01-652,Fridley Middle Area Learning Center,6100 West Moore Lake Drive,Fridley,MN,55432,"Anoka County, MN", 5-8,271242000000,10014652000,
15,1,0,0015-01,St. Francis Area Schools,4115 Ambassador Blvd,Saint Francis,MN,55070-9668,"Anoka County, MN",,2733540,10015000000,247016
15,1,15,0015-01-015,Saints Online,4111 Ambassador Blvd NW,Saint Francis,MN,55070,"Anoka County, MN", 3-12,273354000000,10015015000,
15,1,16,0015-01-016,Saints Guided Studies,4111 Ambassador Blvd,Saint Francis,MN,55070,"Anoka County, MN", 9-12,273354000000,10015016000,
15,1,17,0015-01-017,Saints Targeted Services,4111 Ambassador Blvd NW,Saint Francis,MN,55070,"Anoka County, MN", KG-8,273354000000,10015017000,
15,1,18,0015-01-018,Saints Academy,4111 Ambassador Blvd NW ,Saint Francis,MN,55070,"Anoka County, MN", 7-12,273354000000,10015018000,
15,1,122,0015-01-122,St. Francis High,3325 Bridge St,Saint Francis,MN,55070-9537,"Anoka County, MN", 9-12,273354000000,10015122000,242190
15,1,123,0015-01-123,St. Francis Middle,23026 Ambassador Blvd,Saint Francis,MN,55070-9313,"Anoka County, MN", 6-8,273354000000,10015123000,
15,1,140,0015-01-140,Transition 15,4111 Ambassador Blvd NW,St. Francis,MN,55070,"Anoka County, MN",12,273354000000,10015140000,
15,1,370,0015-01-370,District Wide Extended School Year,4115 Ambassador Blvd NW,St. Francis,MN,55070,"Anoka County, MN", KG-12,2733540,10015370000,
15,1,780,0015-01-780,ECSE@ ISD 15 Lifelong Learning,18900 Cedar Dr NW,Cedar,MN,55011-9513,"Anoka County, MN", EC-PK,273354000000,10015780000,
15,1,782,0015-01-782,St. Francis Elementary,22919 St. Francis Blvd,Saint Francis,MN,55070-9533,"Anoka County, MN", KG-5,273354000000,10015782000,
15,1,784,0015-01-784,Cedar Creek Elementary School,21108 NE Polk St,Cedar,MN,55011-9728,"Anoka County, MN", KG-5,273354000000,10015784000,
15,1,848,0015-01-848,East Bethel Elementary School,21210 Polk St NE,Cedar,MN,55011-9763,"Anoka County, MN", KG-5,273354000000,10015848000,
15,1,856,0015-01-856,Crossroads School,22426 St. Francis Blvd NW,Anoka,MN,55303,"Anoka County, MN", KG-12,273354000000,10015856000,
15,1,857,0015-01-857,Crossroads ESY,22426 St. Francis Blvd NW,Anoka,MN,55303,"Anoka County, MN", 1-12,2733540,10015857000,
15,1,858,0015-01-858,Restore Program,4111 Ambassador Blvd NW,Saint Francis,MN,55070,"Anoka County, MN", KG-12,273354000000,10015858000,
16,1,0,0016-01,Spring Lake Park Public Schools,1415 81st Ave NE,Spring Lake Park,MN,55432-2111,"Anoka County, MN",,2733330,10016000000,247018
16,1,45,0016-01-045,Spring Lake Park Senior High,1100 81st Ave NE,Spring Lake Park,MN,55432-2098,"Anoka County, MN", 9-12,273333000000,10016045000,241682
16,1,46,0016-01-046,Early Education,1415 81st Avenue NE,Spring Lake Park,MN,55432,"Anoka County, MN", EC-PK,273333000000,10016046000,
16,1,92,0016-01-092,Westwood Intermediate and Middle School,711 91st Ave NE,Blaine,MN,55434-2498,"Anoka County, MN", 5-8,273333000000,10016092000,
16,1,513,0016-01-513,Spring Lake Park ESY,1415 81st Ave NE,Spring Lake Park,MN,55432,"Anoka County, MN", EC-12,2733330,10016513000,
16,1,771,0016-01-771,Early Childhood Family Center,1415 81st Avenue NE,Spring Lake Park,MN,55432,"Anoka County, MN", PK,273333000000,10016771000,
16,1,772,0016-01-772,Northpoint Elementary,2350 124th Ct,Blaine,MN,55449,"Anoka County, MN", KG-4,273333000000,10016772000,
16,1,774,0016-01-774,Woodcrest Elementary Spanish Immersion,880 Osborne Rd NE,Fridley,MN,55432-2833,"Anoka County, MN", KG-4,273333000000,10016774000,
16,1,775,0016-01-775,Park Terrace Elementary,8301 Terrace Rd NE,Spring Lake Park,MN,55432-1159,"Anoka County, MN", EC-4,273333000000,10016775000,
16,1,776,0016-01-776,Centerview Elementary,10365 Davenport Street NE,Blaine,MN,55449,"Anoka County, MN", KG-4,273333000000,10016776000,
16,1,780,0016-01-780,Distance Learning Indep Study,1100 81st Ave NE,Spring Lake Park,MN,55432-2071,"Anoka County, MN", 6-12,273333000000,10016780000,
16,1,787,0016-01-787,Elementary Lighthouse,7925 Able Street NE,Spring Lake Park,MN,55432-2071,"Anoka County, MN", 1-6,273333000000,10016787000,
16,1,788,0016-01-788,Secondary Lighthouse,7925 Able Street NE,Spring Lake Park,MN,55432-2071,"Anoka County, MN", 7-12,273333000000,10016788000,
22,1,0,0022-01,Detroit Lakes Public School District,702 Lake Ave,Detroit Lakes,MN,56501-3026,"Becker County, MN",,2710230,10022000000,247022
22,1,3,0022-01-003,Detroit Lakes Senior High,1301 Roosevelt Ave,Detroit Lakes,MN,56501-4499,"Becker County, MN", 9-12,271023000000,10022003000,240625
22,1,4,0022-01-004,Detroit Lakes Middle,510 11th Ave,Detroit Lakes,MN,56501-2827,"Becker County, MN", 6-8,271023000000,10022004000,
22,1,6,0022-01-006,Detroit Lakes Alternative Program,900 Hwy 34 E,Detroit Lakes,MN,56501-3026,"Becker County, MN", 10-12,271023000000,10022006000,974985
22,1,7,0022-01-007,Afterschool Program,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", 9-12,271023000000,10022007000,
22,1,8,0022-01-008,HS Extended Year Program,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", 9-12,271023000000,10022008000,
22,1,9,0022-01-009,MS Extended Year Program,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", 6-8,271023000000,10022009000,
22,1,10,0022-01-010,Rossman Elementary,1221 Rossman Ave,Detroit Lakes,MN,56501-3899,"Becker County, MN", EC-5,271023000000,10022010000,
22,1,27,0022-01-027,Rossman Targeted Services,1221 Rossman Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-5,271023000000,10022027000,
22,1,28,0022-01-028,Roosevelt Targeted Services,510 11th Ave,Detroit Lakes,MN,56501-3026,"Becker County, MN", KG-5,271023000000,10022028000,
22,1,32,0022-01-032,Detroit Lakes Middle ALC,500 11th Ave,Detroit Lakes,MN,56501,"Becker County, MN", 6-8,271023000000,10022032000,
22,1,33,0022-01-033,Detroit Lakes Mid. Sch. Target Svc.,500 11th Ave S,Detroit Lakes,MN,56501-3026,"Becker County, MN", 6-8,271023000000,10022033000,
22,1,34,0022-01-034,Lake Park-Audubon Targeted Services,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-8,271023000000,10022034000,
22,1,36,0022-01-036,LPA Extended Year Program,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-8,271023000000,10022036000,
22,1,38,0022-01-038,Elementary Extended Year Program,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-5,271023000000,10022038000,
22,1,42,0022-01-042,Detroit Lakes Area Learning Center,900 Hwy 34 E,Detroit Lakes,MN,56501,"Becker County, MN", 9-12,271023000000,10022042000,974990
22,1,43,0022-01-043,Frazee Targeted Services,305 Lake St N,Frazee,MN,56544,"Becker County, MN", 6-8,271023000000,10022043000,
22,1,46,0022-01-046,Boys & Girls Club Targeted Services,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-8,271023000000,10022046000,
22,1,48,0022-01-048,Boys & Girls Club Extended Yr Prog.,702 Lake Ave,Detroit Lakes,MN,56501,"Becker County, MN", KG-8,271023000000,10022048000,
22,1,53,0022-01-053,Frazee Extended Year,305 Lake St N,Frazee,MN,56544,"Becker County, MN", KG-8,271023000000,10022053000,
22,1,55,0022-01-055,Lincoln Early Childhood Ed. Center,204 E Willlow,Detroit Lakes,MN,56501,"Becker County, MN", EC-PK,271023000000,10022055000,
22,1,56,0022-01-056,Morris Targeted Services,201 S Columbia Ave,Morris,MN,56267,"Stevens County, MN", KG-8,271023000000,10022056000,
22,1,57,0022-01-057,Morris Extended Year,201 S Columbia Ave,Morris,MN,56267,"Stevens County, MN", KG-8,271023000000,10022057000,
22,1,58,0022-01-058,Browns Valley Targeted Services,118 Church St,Browns Valley,MN,56219-0259,"Traverse County, MN", KG-8,271023000000,10022058000,
22,1,60,0022-01-060,Roosevelt Elementary,510 11th Ave,Detroit Lakes,MN,56501-2827,"Becker County, MN", EC-5,271023000000,10022060000,
22,1,62,0022-01-062,West Central Area Schools TS,301 County Rd 2,Barrett,MN,56311-9701,"Grant County, MN", KG-8,271023000000,10022062000,
22,1,66,0022-01-066,Walker-Hackensack-Akeley School TS,301 4th St,Walker,MN,56484-4000,"Cass County, MN", KG-8,271023000000,10022066000,
23,1,0,0023-01,Frazee-Vergas Public School District,305 N Lake St,Frazee,MN,56544-4512,"Becker County, MN",,2712360,10023000000,247024
23,1,10,0023-01-010,Frazee Elementary,Hickory Ave,Frazee,MN,56544,"Becker County, MN", EC-6,271236000000,10023010000,
23,1,20,0023-01-020,Frazee Secondary,305 N Lake St,Frazee,MN,56544,"Becker County, MN", 7-12,271236000000,10023020000,240880
25,1,0,0025-01,Pine Point Public School District,48075 Pow Wow Hwy,Ponsford,MN,56575-0008,"Becker County, MN",,2728960,10025000000,
25,1,70,0025-01-070,Pine Point Elementary,48075 Pow Wow Hwy,Ponsford,MN,56575-0008,"Becker County, MN", PK-8,272896000000,10025070000,
31,1,0,0031-01,Bemidji Public School District,502 Minnesota Ave NW,Bemidji,MN,56601-5668,"Beltrami County, MN",,2704440,10031000000,247030
31,1,11,0031-01-011,Gene Dillon Elementary School,3795 Division St W,Bemidji,MN,56601,"Beltrami County, MN", 4-5,270444000000,10031011000,
31,1,15,0031-01-015,Bemidji Middle,1910 Middle School Ave NW,Bemidji,MN,56601-5668,"Beltrami County, MN", 6-8,270444000000,10031015000,
31,1,16,0031-01-016,Northern Elementary,8711 Irvine Ave NW,Bemidji,MN,56601-5668,"Beltrami County, MN", EC+KG-3,270444000000,10031016000,
31,1,20,0031-01-020,Bemidji Senior High,2900 Division St W,Bemidji,MN,56601-5668,"Beltrami County, MN", 9-12,270444000000,10031020000,240215
31,1,22,0031-01-022,Bemidji Senior Lumberjack ALC,2900 Division St W,Bemidji,MN,56601,"Beltrami County, MN", 9-12,270444000000,10031022000,972490
31,1,30,0031-01-030,Paul Bunyan Center,3300 Gillett Dr NW,Bemidji,MN,56601-5668,"Beltrami County, MN", EC-PK,270444000000,10031030000,
31,1,40,0031-01-040,J.W. Smith Elementary,1712 America Ave,Bemidji,MN,56601-5668,"Beltrami County, MN", EC-3,270444000000,10031040000,
31,1,50,0031-01-050,Central Elementary,815 Beltrami Ave,Bemidji,MN,56601-5668,"Beltrami County, MN", EC-3,270444000000,10031050000,
31,1,60,0031-01-060,Lincoln Elementary,1617 5th St NE,Bemidji,MN,56601-5668,"Beltrami County, MN", EC+KG-3,270444000000,10031060000,
31,1,70,0031-01-070,Lakeside Learning Center,502 Minnesota Ave,Bemidji,MN,56601,"Beltrami County, MN", 6-12,270444000000,10031070000,972495
31,1,80,0031-01-080,Solway Elementary,159 Lomen Ave NE,Solway,MN,56678-5668,"Beltrami County, MN", EC+KG-3,270444000000,10031080000,
31,1,100,0031-01-100,Horace May Elementary,4415 Washington Ave SW,Bemidji,MN,56601-5668,"Beltrami County, MN", EC+KG-3,270444000000,10031100000,
31,1,160,0031-01-160,First City School,1231 5th St NW,Bemidji,MN,56601-5668,"Beltrami County, MN", 3-12,270444000000,10031160000,
