DistrictNumber,DistrictType,SchoolNumber,MNSchoolID,SchoolName,Address,City,State,Zipcode,County,Grades,NCESID,StateOrganizationId,ACTID
4113,7,10,4113-07-010,Spero Academy,2701 California St. NE,Minneapolis,MN,55418-2606,"Hennepin County, MN", KG-6,270035000000,74113010000,
4116,7,0,4116-07,Lakes International Language Academy,246 SE 11th Ave,Forest Lake,MN,55025-1823,"Washington County, MN", EC-12,2700358,74116000000,
4116,7,10,4116-07-010,Lakes International Language Academy Main Campus,246 SE 11th Ave,Forest Lake,MN,55025-1823,"Washington County, MN", 1-5,270036000000,74116010000,
4116,7,20,4116-07-020,Lakes International Language Academy-Headwaters Campus,19850 Fenway Avenue N,Forest Lake,MN,55025,"Washington County, MN", 6-12,270036000000,74116020000,240006
4116,7,30,4116-07-030,LILA Kinder Center,121 SE 11th Ave,Forest Lake,MN,55025,"Washington County, MN", PK-KG,270036000000,74116030000,
4116,7,40,4116-07-040,LILA ESY,246 11th Av SE,Forest Lake,MN,55025,"Washington County, MN", KG-12,2700358,74116040000,
4118,7,0,4118-07,Kaleidoscope Charter School,7525 Kalland Ave NE,Otsego,MN,55301-9690,"Wright County, MN", KG-12,2700360,74118000000,
4118,7,10,4118-07-010,Kaleidoscope Charter Elementary School,7525 Kalland Ave NE,Otsego,MN,55301-9690,"Wright County, MN", KG-5,270036000000,74118010000,
4118,7,20,4118-07-020,Kaleidoscope Charter High School,7525 Kalland Ave NE,Otsego,MN,55301-9690,"Wright County, MN", 9-12,270036000000,74118020000,
4118,7,30,4118-07-030,Kaleidoscope Middle School,7525 Kalland Ave NE,Otsego,MN,55301,"Wright County, MN", 6-8,270036000000,74118030000,
4118,7,50,4118-07-050,Kaleidoscope ESY,7525 Kalland Ave NE,Otsego,MN,55301-9690,"Wright County, MN", 1-12,2700360,74118050000,
4119,7,0,4119-07,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118-5932,"Dakota County, MN", 7-12,2700361,74119000000,
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
4119,7,10,4119-07-010,Academic Arts High School,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,"Dakota County, MN", 9-12,270036000000,74119010000,242331
