AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2021,22,19.8,19.8,19.8,19.8,19.8
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2022,62,18.7,18.7,18.7,18.7,18.7
School,AITKIN INDEPENDENT SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2023,42,19.2,19.2,19.2,19.2,19.2
School,ALBANY AREA SCHOOLS  INDEPENDENT SCHOOL DISTRICT NO 745,247788,ALBANY AREA HIGH SCHOOL,240030,2019,107,19.1,19.1,19.1,19.1,19.1
School,ALBANY AREA SCHOOLS  INDEPENDENT SCHOOL DISTRICT NO 745,247788,ALBANY AREA HIGH SCHOOL,240030,2020,88,19.3,19.3,19.3,19.3,19.3
School,ALBANY AREA SCHOOLS  INDEPENDENT SCHOOL DISTRICT NO 745,247788,ALBANY AREA HIGH SCHOOL,240030,2021,93,20.3,20.3,20.3,20.3,20.3
School,ALBANY AREA SCHOOLS  INDEPENDENT SCHOOL DISTRICT NO 745,247788,ALBANY AREA HIGH SCHOOL,240030,2022,95,17.8,17.8,17.8,17.8,17.8
School,ALBANY AREA SCHOOLS  INDEPENDENT SCHOOL DISTRICT NO 745,247788,ALBANY AREA HIGH SCHOOL,240030,2023,81,20,20,20,20,20
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2019,192,17.8,17.8,17.8,17.8,17.8
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2020,204,17,17,17,17,17
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2021,131,17,17,17,17,17
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2022,152,19.2,19.2,19.2,19.2,19.2
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2023,112,18.6,18.6,18.6,18.6,18.6
School,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2019,28,18.4,18.4,18.4,18.4,18.4
School,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2020,32,18.3,18.3,18.3,18.3,18.3
School,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2021,32,19.8,19.8,19.8,19.8,19.8
School,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2022,18,18.4,18.4,18.4,18.4,18.4
School,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2023,26,18.8,18.8,18.8,18.8,18.8
School,ALEXANDRIA SCHOOL DISTRICT 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2019,254,20.2,20.2,20.2,20.2,20.2
School,ALEXANDRIA SCHOOL DISTRICT 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2020,285,19.4,19.4,19.4,19.4,19.4
School,ALEXANDRIA SCHOOL DISTRICT 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2021,230,18.6,18.6,18.6,18.6,18.6
School,ALEXANDRIA SCHOOL DISTRICT 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2022,248,18.8,18.8,18.8,18.8,18.8
School,ALEXANDRIA SCHOOL DISTRICT 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2023,243,19.8,19.8,19.8,19.8,19.8
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANDOVER HIGH SCHOOL,240070,2019,426,20,20,20,20,20
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANDOVER HIGH SCHOOL,240070,2020,401,20,20,20,20,20
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANDOVER HIGH SCHOOL,240070,2021,292,19.7,19.7,19.7,19.7,19.7
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANDOVER HIGH SCHOOL,240070,2022,374,19.1,19.1,19.1,19.1,19.1
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANDOVER HIGH SCHOOL,240070,2023,363,18.7,18.7,18.7,18.7,18.7
School,ANNANDALE SCHOOL DISTRICT 876,247906,ANNANDALE HIGH SCHOOL,240075,2019,105,19,19,19,19,19
School,ANNANDALE SCHOOL DISTRICT 876,247906,ANNANDALE HIGH SCHOOL,240075,2020,104,18.3,18.3,18.3,18.3,18.3
School,ANNANDALE SCHOOL DISTRICT 876,247906,ANNANDALE HIGH SCHOOL,240075,2021,29,21.3,21.3,21.3,21.3,21.3
School,ANNANDALE SCHOOL DISTRICT 876,247906,ANNANDALE HIGH SCHOOL,240075,2022,84,17.6,17.6,17.6,17.6,17.6
School,ANNANDALE SCHOOL DISTRICT 876,247906,ANNANDALE HIGH SCHOOL,240075,2023,78,18.4,18.4,18.4,18.4,18.4
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA HIGH SCHOOL,240080,2019,532,18.9,18.9,18.9,18.9,18.9
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA HIGH SCHOOL,240080,2020,488,18.1,18.1,18.1,18.1,18.1
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA HIGH SCHOOL,240080,2021,402,17.2,17.2,17.2,17.2,17.2
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA HIGH SCHOOL,240080,2022,477,17.2,17.2,17.2,17.2,17.2
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA HIGH SCHOOL,240080,2023,435,17,17,17,17,17
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA-HENNIPEN REGIONAL HIGH SCHOOL,240534,2019,48,13.2,13.2,13.2,13.2,13.2
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA-HENNIPEN REGIONAL HIGH SCHOOL,240534,2020,43,12.1,12.1,12.1,12.1,12.1
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA-HENNIPEN REGIONAL HIGH SCHOOL,240534,2021,13,12.4,12.4,12.4,12.4,12.4
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA-HENNIPEN REGIONAL HIGH SCHOOL,240534,2022,18,12.3,12.3,12.3,12.3,12.3
School,ANOKA-HENNEPIN PUBLIC SCHOOL DISTRICT,247008,ANOKA-HENNIPEN REGIONAL HIGH SCHOOL,240534,2023,40,12.2,12.2,12.2,12.2,12.2
School,SAINT CLOUD AREA SCHOOL DISTRICT 742,247802,APOLLO HIGH SCHOOL,242178,2019,177,17.7,17.7,17.7,17.7,17.7
School,SAINT CLOUD AREA SCHOOL DISTRICT 742,247802,APOLLO HIGH SCHOOL,242178,2020,175,16.4,16.4,16.4,16.4,16.4
School,SAINT CLOUD AREA SCHOOL DISTRICT 742,247802,APOLLO HIGH SCHOOL,242178,2021,27,21.8,21.8,21.8,21.8,21.8
School,SAINT CLOUD AREA SCHOOL DISTRICT 742,247802,APOLLO HIGH SCHOOL,242178,2022,97,17.9,17.9,17.9,17.9,17.9
School,SAINT CLOUD AREA SCHOOL DISTRICT 742,247802,APOLLO HIGH SCHOOL,242178,2023,119,16.8,16.8,16.8,16.8,16.8
School,ROSEMOUNT-APPLE VALLEY-EAGAN DISTRICT 196,247180,APPLE VALLEY HIGH SCHOOL,240084,2019,341,19.6,19.6,19.6,19.6,19.6
School,ROSEMOUNT-APPLE VALLEY-EAGAN DISTRICT 196,247180,APPLE VALLEY HIGH SCHOOL,240084,2020,345,19.9,19.9,19.9,19.9,19.9
School,ROSEMOUNT-APPLE VALLEY-EAGAN DISTRICT 196,247180,APPLE VALLEY HIGH SCHOOL,240084,2021,301,19.5,19.5,19.5,19.5,19.5
School,ROSEMOUNT-APPLE VALLEY-EAGAN DISTRICT 196,247180,APPLE VALLEY HIGH SCHOOL,240084,2022,299,17.7,17.7,17.7,17.7,17.7
School,ROSEMOUNT-APPLE VALLEY-EAGAN DISTRICT 196,247180,APPLE VALLEY HIGH SCHOOL,240084,2023,362,17.9,17.9,17.9,17.9,17.9
School,NORTHFIELD PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 659,247706,ARCADIA CHARTER SCHOOL,241856,2019,17,20.8,20.8,20.8,20.8,20.8
School,NORTHFIELD PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 659,247706,ARCADIA CHARTER SCHOOL,241856,2020,13,22.6,22.6,22.6,22.6,22.6
School,NORTHFIELD PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 659,247706,ARCADIA CHARTER SCHOOL,241856,2021,0,,,,,
School,NORTHFIELD PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 659,247706,ARCADIA CHARTER SCHOOL,241856,2022,7,,,,,
School,NORTHFIELD PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 659,247706,ARCADIA CHARTER SCHOOL,241856,2023,13,26.8,26.8,26.8,26.8,26.8
School,ASHBY PUBLIC SCHOOL DISTRICT,247270,ASHBY SCHOOL,240100,2019,16,15.8,15.8,15.8,15.8,15.8
School,ASHBY PUBLIC SCHOOL DISTRICT,247270,ASHBY SCHOOL,240100,2020,14,20.4,20.4,20.4,20.4,20.4
School,ASHBY PUBLIC SCHOOL DISTRICT,247270,ASHBY SCHOOL,240100,2021,25,16.3,16.3,16.3,16.3,16.3
School,ASHBY PUBLIC SCHOOL DISTRICT,247270,ASHBY SCHOOL,240100,2022,25,18.2,18.2,18.2,18.2,18.2
School,ASHBY PUBLIC SCHOOL DISTRICT,247270,ASHBY SCHOOL,240100,2023,15,18,18,18,18,18
School,ATWATER-COSMOS-GROVE CITY PUBLIC SCHOOL DISTRICT 2396,247358,ATWATER COSMOS GROVE CITY HIGH SCHOOL,240110,2019,37,18.2,18.2,18.2,18.2,18.2
School,ATWATER-COSMOS-GROVE CITY PUBLIC SCHOOL DISTRICT 2396,247358,ATWATER COSMOS GROVE CITY HIGH SCHOOL,240110,2020,44,18.1,18.1,18.1,18.1,18.1
School,ATWATER-COSMOS-GROVE CITY PUBLIC SCHOOL DISTRICT 2396,247358,ATWATER COSMOS GROVE CITY HIGH SCHOOL,240110,2021,33,17,17,17,17,17
School,ATWATER-COSMOS-GROVE CITY PUBLIC SCHOOL DISTRICT 2396,247358,ATWATER COSMOS GROVE CITY HIGH SCHOOL,240110,2022,26,17.4,17.4,17.4,17.4,17.4
School,ATWATER-COSMOS-GROVE CITY PUBLIC SCHOOL DISTRICT 2396,247358,ATWATER COSMOS GROVE CITY HIGH SCHOOL,240110,2023,20,17.9,17.9,17.9,17.9,17.9
School,AUSTIN INDEPENDENT SCHOOL DISTRICT 492,247518,AUSTIN HIGH SCHOOL,240125,2019,272,17.5,17.5,17.5,17.5,17.5
School,AUSTIN INDEPENDENT SCHOOL DISTRICT 492,247518,AUSTIN HIGH SCHOOL,240125,2020,280,16.2,16.2,16.2,16.2,16.2
School,AUSTIN INDEPENDENT SCHOOL DISTRICT 492,247518,AUSTIN HIGH SCHOOL,240125,2021,267,15.6,15.6,15.6,15.6,15.6
School,AUSTIN INDEPENDENT SCHOOL DISTRICT 492,247518,AUSTIN HIGH SCHOOL,240125,2022,246,15.9,15.9,15.9,15.9,15.9
School,AUSTIN INDEPENDENT SCHOOL DISTRICT 492,247518,AUSTIN HIGH SCHOOL,240125,2023,259,16.5,16.5,16.5,16.5,16.5
School,AFFILIATION NOT REPORTED,N/A,AVALON SCHOOL,242221,2019,27,21.9,21.9,21.9,21.9,21.9
School,AFFILIATION NOT REPORTED,N/A,AVALON SCHOOL,242221,2020,30,21.8,21.8,21.8,21.8,21.8
School,AFFILIATION NOT REPORTED,N/A,AVALON SCHOOL,242221,2021,23,20,20,20,20,20
School,AFFILIATION NOT REPORTED,N/A,AVALON SCHOOL,242221,2022,17,23.5,23.5,23.5,23.5,23.5
School,AFFILIATION NOT REPORTED,N/A,AVALON SCHOOL,242221,2023,10,23.7,23.7,23.7,23.7,23.7
School,BADGER INDEPENDENT SCHOOL DISTRICT 676,247716,BADGER HIGH SCHOOL,240140,2019,19,14.9,14.9,14.9,14.9,14.9
School,BADGER INDEPENDENT SCHOOL DISTRICT 676,247716,BADGER HIGH SCHOOL,240140,2020,12,17.8,17.8,17.8,17.8,17.8
School,BADGER INDEPENDENT SCHOOL DISTRICT 676,247716,BADGER HIGH SCHOOL,240140,2021,22,19.6,19.6,19.6,19.6,19.6
School,BADGER INDEPENDENT SCHOOL DISTRICT 676,247716,BADGER HIGH SCHOOL,240140,2022,18,17.2,17.2,17.2,17.2,17.2
School,BADGER INDEPENDENT SCHOOL DISTRICT 676,247716,BADGER HIGH SCHOOL,240140,2023,13,17.7,17.7,17.7,17.7,17.7
