AnalysisLevel,DistrictName,ACTDistrictCode,HighSchoolName,ACTHSCode,GradYear,NumberStudents,AvgEnglish,AvgMath,AvgReading,AvgScience,AvgOverall
School,FOLEY PUBLIC SCHOOLS,247040,FOLEY HIGH SCHOOL,240860,2022,112,17.1,17.1,17.1,17.1,17.1
School,FOLEY PUBLIC SCHOOLS,247040,FOLEY HIGH SCHOOL,240860,2023,129,16.9,16.9,16.9,16.9,16.9
School,AFFILIATION NOT REPORTED,N/A,FOND DU LAC OJIBWE SCHOOL,240498,2019,11,14.5,14.5,14.5,14.5,14.5
School,AFFILIATION NOT REPORTED,N/A,FOND DU LAC OJIBWE SCHOOL,240498,2020,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,FOND DU LAC OJIBWE SCHOOL,240498,2021,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,FOND DU LAC OJIBWE SCHOOL,240498,2022,0,,,,,
School,AFFILIATION NOT REPORTED,N/A,FOND DU LAC OJIBWE SCHOOL,240498,2023,9,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE AREA COMMUNITY SCHOOL,240864,2019,1,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE AREA COMMUNITY SCHOOL,240864,2020,6,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE AREA COMMUNITY SCHOOL,240864,2021,2,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE AREA COMMUNITY SCHOOL,240864,2022,2,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE AREA COMMUNITY SCHOOL,240864,2023,1,,,,,
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE SENIOR HIGH SCHOOL,240865,2019,325,21.4,21.4,21.4,21.4,21.4
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE SENIOR HIGH SCHOOL,240865,2020,353,20.6,20.6,20.6,20.6,20.6
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE SENIOR HIGH SCHOOL,240865,2021,312,19.7,19.7,19.7,19.7,19.7
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE SENIOR HIGH SCHOOL,240865,2022,223,19.6,19.6,19.6,19.6,19.6
School,FOREST LAKE AREA SCHOOL DISTRICT,247878,FOREST LAKE SENIOR HIGH SCHOOL,240865,2023,240,19.4,19.4,19.4,19.4,19.4
School,FOSSTON INDEPENDENT SCHOOL DISTRICT 601,247630,FOSSTON HIGH SCHOOL,240870,2019,44,17.7,17.7,17.7,17.7,17.7
School,FOSSTON INDEPENDENT SCHOOL DISTRICT 601,247630,FOSSTON HIGH SCHOOL,240870,2020,38,17.2,17.2,17.2,17.2,17.2
School,FOSSTON INDEPENDENT SCHOOL DISTRICT 601,247630,FOSSTON HIGH SCHOOL,240870,2021,35,18.3,18.3,18.3,18.3,18.3
School,FOSSTON INDEPENDENT SCHOOL DISTRICT 601,247630,FOSSTON HIGH SCHOOL,240870,2022,27,17.3,17.3,17.3,17.3,17.3
School,FOSSTON INDEPENDENT SCHOOL DISTRICT 601,247630,FOSSTON HIGH SCHOOL,240870,2023,21,20,20,20,20,20
School,FRAZEE VERGAS INDEPENDENT SCHOOL DISTRICT 23,247024,FRAZEE-VERGAS HIGH SCHOOL,240880,2019,55,17.6,17.6,17.6,17.6,17.6
School,FRAZEE VERGAS INDEPENDENT SCHOOL DISTRICT 23,247024,FRAZEE-VERGAS HIGH SCHOOL,240880,2020,56,17.6,17.6,17.6,17.6,17.6
School,FRAZEE VERGAS INDEPENDENT SCHOOL DISTRICT 23,247024,FRAZEE-VERGAS HIGH SCHOOL,240880,2021,55,17.7,17.7,17.7,17.7,17.7
School,FRAZEE VERGAS INDEPENDENT SCHOOL DISTRICT 23,247024,FRAZEE-VERGAS HIGH SCHOOL,240880,2022,41,15.6,15.6,15.6,15.6,15.6
School,FRAZEE VERGAS INDEPENDENT SCHOOL DISTRICT 23,247024,FRAZEE-VERGAS HIGH SCHOOL,240880,2023,35,18.5,18.5,18.5,18.5,18.5
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY HIGH SCHOOL,241612,2019,206,17.3,17.3,17.3,17.3,17.3
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY HIGH SCHOOL,241612,2020,199,16,16,16,16,16
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY HIGH SCHOOL,241612,2021,121,17,17,17,17,17
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY HIGH SCHOOL,241612,2022,164,15.9,15.9,15.9,15.9,15.9
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY HIGH SCHOOL,241612,2023,152,15,15,15,15,15
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY MOORE LAKE AREA LEARNING CENTER,974983,2019,0,,,,,
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY MOORE LAKE AREA LEARNING CENTER,974983,2020,0,,,,,
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY MOORE LAKE AREA LEARNING CENTER,974983,2021,0,,,,,
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY MOORE LAKE AREA LEARNING CENTER,974983,2022,0,,,,,
School,FRIDLEY INDEPENDENT SCHOOL DISTRICT 14,247014,FRIDLEY MOORE LAKE AREA LEARNING CENTER,974983,2023,1,,,,,
School,FULDA INDEPENDENT SCHOOL DISTRICT 505,247528,FULDA HIGH SCHOOL,240900,2019,23,20.3,20.3,20.3,20.3,20.3
School,FULDA INDEPENDENT SCHOOL DISTRICT 505,247528,FULDA HIGH SCHOOL,240900,2020,27,18.6,18.6,18.6,18.6,18.6
School,FULDA INDEPENDENT SCHOOL DISTRICT 505,247528,FULDA HIGH SCHOOL,240900,2021,4,,,,,
School,FULDA INDEPENDENT SCHOOL DISTRICT 505,247528,FULDA HIGH SCHOOL,240900,2022,14,18.3,18.3,18.3,18.3,18.3
School,FULDA INDEPENDENT SCHOOL DISTRICT 505,247528,FULDA HIGH SCHOOL,240900,2023,15,14,14,14,14,14
School,GIBBON-FAIRFAX-WINTHROP PUBLIC SCHOOL DISTRICT 2365,247688,GIBBON-FAIRFAX-WINTHROP HIGH SCHOOL,242735,2019,37,18.5,18.5,18.5,18.5,18.5
School,GIBBON-FAIRFAX-WINTHROP PUBLIC SCHOOL DISTRICT 2365,247688,GIBBON-FAIRFAX-WINTHROP HIGH SCHOOL,242735,2020,29,20,20,20,20,20
School,GIBBON-FAIRFAX-WINTHROP PUBLIC SCHOOL DISTRICT 2365,247688,GIBBON-FAIRFAX-WINTHROP HIGH SCHOOL,242735,2021,15,21.5,21.5,21.5,21.5,21.5
School,GIBBON-FAIRFAX-WINTHROP PUBLIC SCHOOL DISTRICT 2365,247688,GIBBON-FAIRFAX-WINTHROP HIGH SCHOOL,242735,2022,17,18.6,18.6,18.6,18.6,18.6
School,GIBBON-FAIRFAX-WINTHROP PUBLIC SCHOOL DISTRICT 2365,247688,GIBBON-FAIRFAX-WINTHROP HIGH SCHOOL,242735,2023,14,19.8,19.8,19.8,19.8,19.8
School,GLENCOE SILVER LAKE INDEPENDENT SCHOOL DISTRICT 2859,247432,GLENCOE-SILVER LAKE HIGH SCHOOL,240930,2019,93,20,20,20,20,20
School,GLENCOE SILVER LAKE INDEPENDENT SCHOOL DISTRICT 2859,247432,GLENCOE-SILVER LAKE HIGH SCHOOL,240930,2020,77,19,19,19,19,19
School,GLENCOE SILVER LAKE INDEPENDENT SCHOOL DISTRICT 2859,247432,GLENCOE-SILVER LAKE HIGH SCHOOL,240930,2021,66,18.4,18.4,18.4,18.4,18.4
School,GLENCOE SILVER LAKE INDEPENDENT SCHOOL DISTRICT 2859,247432,GLENCOE-SILVER LAKE HIGH SCHOOL,240930,2022,71,17.9,17.9,17.9,17.9,17.9
School,GLENCOE SILVER LAKE INDEPENDENT SCHOOL DISTRICT 2859,247432,GLENCOE-SILVER LAKE HIGH SCHOOL,240930,2023,74,16.6,16.6,16.6,16.6,16.6
School,GLENVILLE-EMMONS SCHOOLS NO 2886,247250,GLENVILLE EMMONS HIGH SCHOOL,240933,2019,14,18.8,18.8,18.8,18.8,18.8
School,GLENVILLE-EMMONS SCHOOLS NO 2886,247250,GLENVILLE EMMONS HIGH SCHOOL,240933,2020,9,,,,,
School,GLENVILLE-EMMONS SCHOOLS NO 2886,247250,GLENVILLE EMMONS HIGH SCHOOL,240933,2021,1,,,,,
School,GLENVILLE-EMMONS SCHOOLS NO 2886,247250,GLENVILLE EMMONS HIGH SCHOOL,240933,2022,32,16.5,16.5,16.5,16.5,16.5
School,GLENVILLE-EMMONS SCHOOLS NO 2886,247250,GLENVILLE EMMONS HIGH SCHOOL,240933,2023,14,17.2,17.2,17.2,17.2,17.2
School,GOODHUE  INDEPENDENT SCHOOL DISTRICT 253,247258,GOODHUE SECONDARY SCHOOL,240950,2019,49,20,20,20,20,20
School,GOODHUE  INDEPENDENT SCHOOL DISTRICT 253,247258,GOODHUE SECONDARY SCHOOL,240950,2020,27,20.6,20.6,20.6,20.6,20.6
School,GOODHUE  INDEPENDENT SCHOOL DISTRICT 253,247258,GOODHUE SECONDARY SCHOOL,240950,2021,19,19.6,19.6,19.6,19.6,19.6
School,GOODHUE  INDEPENDENT SCHOOL DISTRICT 253,247258,GOODHUE SECONDARY SCHOOL,240950,2022,46,18.5,18.5,18.5,18.5,18.5
School,GOODHUE  INDEPENDENT SCHOOL DISTRICT 253,247258,GOODHUE SECONDARY SCHOOL,240950,2023,31,17.9,17.9,17.9,17.9,17.9
School,GOODRIDGE INDEPENDENT SCHOOL DISTRICT 561,247590,GOODRIDGE SCHOOL,240955,2019,12,16.4,16.4,16.4,16.4,16.4
School,GOODRIDGE INDEPENDENT SCHOOL DISTRICT 561,247590,GOODRIDGE SCHOOL,240955,2020,15,14.2,14.2,14.2,14.2,14.2
School,GOODRIDGE INDEPENDENT SCHOOL DISTRICT 561,247590,GOODRIDGE SCHOOL,240955,2021,0,,,,,
School,GOODRIDGE INDEPENDENT SCHOOL DISTRICT 561,247590,GOODRIDGE SCHOOL,240955,2022,8,,,,,
School,GOODRIDGE INDEPENDENT SCHOOL DISTRICT 561,247590,GOODRIDGE SCHOOL,240955,2023,20,15.6,15.6,15.6,15.6,15.6
School,GRANADA HUNTLEY EAST CHAIN SCHOOL DISTRICT 2536,247470,GRANADA-HUNTLEY-EAST CHAIN HIGH SCHOOL,240975,2019,6,,,,,
School,GRANADA HUNTLEY EAST CHAIN SCHOOL DISTRICT 2536,247470,GRANADA-HUNTLEY-EAST CHAIN HIGH SCHOOL,240975,2020,14,14.9,14.9,14.9,14.9,14.9
School,GRANADA HUNTLEY EAST CHAIN SCHOOL DISTRICT 2536,247470,GRANADA-HUNTLEY-EAST CHAIN HIGH SCHOOL,240975,2021,13,16.4,16.4,16.4,16.4,16.4
School,GRANADA HUNTLEY EAST CHAIN SCHOOL DISTRICT 2536,247470,GRANADA-HUNTLEY-EAST CHAIN HIGH SCHOOL,240975,2022,17,15.1,15.1,15.1,15.1,15.1
School,GRANADA HUNTLEY EAST CHAIN SCHOOL DISTRICT 2536,247470,GRANADA-HUNTLEY-EAST CHAIN HIGH SCHOOL,240975,2023,17,16.1,16.1,16.1,16.1,16.1
School,GRAND MEADOW INDEPENDENT SCHOOL DISTRICT 495,247520,GRAND MEADOW HIGH SCHOOL,240985,2019,34,17.3,17.3,17.3,17.3,17.3
School,GRAND MEADOW INDEPENDENT SCHOOL DISTRICT 495,247520,GRAND MEADOW HIGH SCHOOL,240985,2020,33,17.2,17.2,17.2,17.2,17.2
School,GRAND MEADOW INDEPENDENT SCHOOL DISTRICT 495,247520,GRAND MEADOW HIGH SCHOOL,240985,2021,32,16.7,16.7,16.7,16.7,16.7
School,GRAND MEADOW INDEPENDENT SCHOOL DISTRICT 495,247520,GRAND MEADOW HIGH SCHOOL,240985,2022,22,16.6,16.6,16.6,16.6,16.6
School,GRAND MEADOW INDEPENDENT SCHOOL DISTRICT 495,247520,GRAND MEADOW HIGH SCHOOL,240985,2023,34,16.1,16.1,16.1,16.1,16.1
School,GRAND RAPIDS INDEPENDENT SCHOOL DISTRICT 318,247342,GRAND RAPIDS HIGH SCHOOL,240990,2019,170,20.9,20.9,20.9,20.9,20.9
School,GRAND RAPIDS INDEPENDENT SCHOOL DISTRICT 318,247342,GRAND RAPIDS HIGH SCHOOL,240990,2020,151,19.3,19.3,19.3,19.3,19.3
School,GRAND RAPIDS INDEPENDENT SCHOOL DISTRICT 318,247342,GRAND RAPIDS HIGH SCHOOL,240990,2021,80,20.9,20.9,20.9,20.9,20.9
School,GRAND RAPIDS INDEPENDENT SCHOOL DISTRICT 318,247342,GRAND RAPIDS HIGH SCHOOL,240990,2022,131,20.2,20.2,20.2,20.2,20.2
School,GRAND RAPIDS INDEPENDENT SCHOOL DISTRICT 318,247342,GRAND RAPIDS HIGH SCHOOL,240990,2023,117,19.3,19.3,19.3,19.3,19.3
School,AFFILIATION NOT REPORTED,N/A,GREAT RIVER SCHOOL,242300,2019,50,23.8,23.8,23.8,23.8,23.8
School,AFFILIATION NOT REPORTED,N/A,GREAT RIVER SCHOOL,242300,2020,56,23.5,23.5,23.5,23.5,23.5
School,AFFILIATION NOT REPORTED,N/A,GREAT RIVER SCHOOL,242300,2021,12,30.8,30.8,30.8,30.8,30.8
School,AFFILIATION NOT REPORTED,N/A,GREAT RIVER SCHOOL,242300,2022,12,26.4,26.4,26.4,26.4,26.4
School,AFFILIATION NOT REPORTED,N/A,GREAT RIVER SCHOOL,242300,2023,9,,,,,
School,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT 2683,247718,GREENBUSH MIDDLE RIVER SCHOOL,241000,2019,29,18.9,18.9,18.9,18.9,18.9
School,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT 2683,247718,GREENBUSH MIDDLE RIVER SCHOOL,241000,2020,19,20.5,20.5,20.5,20.5,20.5
School,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT 2683,247718,GREENBUSH MIDDLE RIVER SCHOOL,241000,2021,12,17.2,17.2,17.2,17.2,17.2
School,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT 2683,247718,GREENBUSH MIDDLE RIVER SCHOOL,241000,2022,15,16.9,16.9,16.9,16.9,16.9
School,GREENBUSH-MIDDLE RIVER SCHOOL DISTRICT 2683,247718,GREENBUSH MIDDLE RIVER SCHOOL,241000,2023,18,20.9,20.9,20.9,20.9,20.9
School,GREENWAY INDEPENDENT SCHOOL DISTRICT 316,247338,GREENWAY HIGH SCHOOL,240510,2019,73,16.9,16.9,16.9,16.9,16.9
School,GREENWAY INDEPENDENT SCHOOL DISTRICT 316,247338,GREENWAY HIGH SCHOOL,240510,2020,69,19.1,19.1,19.1,19.1,19.1
School,GREENWAY INDEPENDENT SCHOOL DISTRICT 316,247338,GREENWAY HIGH SCHOOL,240510,2021,5,,,,,
School,GREENWAY INDEPENDENT SCHOOL DISTRICT 316,247338,GREENWAY HIGH SCHOOL,240510,2022,101,16.8,16.8,16.8,16.8,16.8
School,GREENWAY INDEPENDENT SCHOOL DISTRICT 316,247338,GREENWAY HIGH SCHOOL,240510,2023,65,15.4,15.4,15.4,15.4,15.4
School,GRYGLA INDEPENDENT SCHOOL DISTRICT 447,247458,GRYGLA SCHOOL,241012,2019,12,16.8,16.8,16.8,16.8,16.8
School,GRYGLA INDEPENDENT SCHOOL DISTRICT 447,247458,GRYGLA SCHOOL,241012,2020,11,16.3,16.3,16.3,16.3,16.3
School,GRYGLA INDEPENDENT SCHOOL DISTRICT 447,247458,GRYGLA SCHOOL,241012,2021,14,14.7,14.7,14.7,14.7,14.7
School,GRYGLA INDEPENDENT SCHOOL DISTRICT 447,247458,GRYGLA SCHOOL,241012,2022,14,17.4,17.4,17.4,17.4,17.4
School,GRYGLA INDEPENDENT SCHOOL DISTRICT 447,247458,GRYGLA SCHOOL,241012,2023,11,15.5,15.5,15.5,15.5,15.5
School,HANCOCK  INDEPENDENT SCHOOL DISTRICT 768,247818,HANCOCK HIGH SCHOOL,241030,2019,14,19.9,19.9,19.9,19.9,19.9
School,HANCOCK  INDEPENDENT SCHOOL DISTRICT 768,247818,HANCOCK HIGH SCHOOL,241030,2020,19,18.9,18.9,18.9,18.9,18.9
School,HANCOCK  INDEPENDENT SCHOOL DISTRICT 768,247818,HANCOCK HIGH SCHOOL,241030,2021,19,18.6,18.6,18.6,18.6,18.6
School,HANCOCK  INDEPENDENT SCHOOL DISTRICT 768,247818,HANCOCK HIGH SCHOOL,241030,2022,22,18,18,18,18,18
School,HANCOCK  INDEPENDENT SCHOOL DISTRICT 768,247818,HANCOCK HIGH SCHOOL,241030,2023,17,17.2,17.2,17.2,17.2,17.2
School,AFFILIATION NOT REPORTED,N/A,HARBOR CITY INTERNATIONAL SCHOOL,240659,2019,39,21.1,21.1,21.1,21.1,21.1
School,AFFILIATION NOT REPORTED,N/A,HARBOR CITY INTERNATIONAL SCHOOL,240659,2020,35,22.5,22.5,22.5,22.5,22.5
School,AFFILIATION NOT REPORTED,N/A,HARBOR CITY INTERNATIONAL SCHOOL,240659,2021,18,23.9,23.9,23.9,23.9,23.9
School,AFFILIATION NOT REPORTED,N/A,HARBOR CITY INTERNATIONAL SCHOOL,240659,2022,28,24.9,24.9,24.9,24.9,24.9
School,AFFILIATION NOT REPORTED,N/A,HARBOR CITY INTERNATIONAL SCHOOL,240659,2023,34,21.7,21.7,21.7,21.7,21.7
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,HARDING HIGH SCHOOL,242255,2019,425,14.1,14.1,14.1,14.1,14.1
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,HARDING HIGH SCHOOL,242255,2020,383,13.8,13.8,13.8,13.8,13.8
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,HARDING HIGH SCHOOL,242255,2021,389,13.7,13.7,13.7,13.7,13.7
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,HARDING HIGH SCHOOL,242255,2022,143,13.8,13.8,13.8,13.8,13.8
School,SAINT PAUL PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 625,247656,HARDING HIGH SCHOOL,242255,2023,301,13,13,13,13,13
School,HASTINGS PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 200,247174,HASTINGS HIGH SCHOOL,241050,2019,248,21.4,21.4,21.4,21.4,21.4
School,HASTINGS PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 200,247174,HASTINGS HIGH SCHOOL,241050,2020,230,21.7,21.7,21.7,21.7,21.7
School,HASTINGS PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 200,247174,HASTINGS HIGH SCHOOL,241050,2021,111,22.4,22.4,22.4,22.4,22.4
School,HASTINGS PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 200,247174,HASTINGS HIGH SCHOOL,241050,2022,225,19.2,19.2,19.2,19.2,19.2
School,HASTINGS PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 200,247174,HASTINGS HIGH SCHOOL,241050,2023,131,19.7,19.7,19.7,19.7,19.7
School,HAWLEY INDEPENDENT SCHOOL DISTRICT 150,247138,HAWLEY HIGH SCHOOL,241055,2019,52,19.9,19.9,19.9,19.9,19.9
School,HAWLEY INDEPENDENT SCHOOL DISTRICT 150,247138,HAWLEY HIGH SCHOOL,241055,2020,52,19.3,19.3,19.3,19.3,19.3
School,HAWLEY INDEPENDENT SCHOOL DISTRICT 150,247138,HAWLEY HIGH SCHOOL,241055,2021,16,23.8,23.8,23.8,23.8,23.8
School,HAWLEY INDEPENDENT SCHOOL DISTRICT 150,247138,HAWLEY HIGH SCHOOL,241055,2022,34,19.8,19.8,19.8,19.8,19.8
School,HAWLEY INDEPENDENT SCHOOL DISTRICT 150,247138,HAWLEY HIGH SCHOOL,241055,2023,26,20.9,20.9,20.9,20.9,20.9
School,HAYFIELD INDEPENDENT SCHOOL DISTRICT 203,247194,HAYFIELD HIGH SCHOOL,241060,2019,54,19.2,19.2,19.2,19.2,19.2
School,HAYFIELD INDEPENDENT SCHOOL DISTRICT 203,247194,HAYFIELD HIGH SCHOOL,241060,2020,52,18,18,18,18,18
School,HAYFIELD INDEPENDENT SCHOOL DISTRICT 203,247194,HAYFIELD HIGH SCHOOL,241060,2021,36,18,18,18,18,18
School,HAYFIELD INDEPENDENT SCHOOL DISTRICT 203,247194,HAYFIELD HIGH SCHOOL,241060,2022,47,18.6,18.6,18.6,18.6,18.6
School,HAYFIELD INDEPENDENT SCHOOL DISTRICT 203,247194,HAYFIELD HIGH SCHOOL,241060,2023,49,18.4,18.4,18.4,18.4,18.4
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY NORTH,991916,2019,4,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY NORTH,991916,2020,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY NORTH,991916,2021,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY NORTH,991916,2022,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY NORTH,991916,2023,3,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY SOUTH,975172,2019,7,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY SOUTH,975172,2020,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY SOUTH,975172,2021,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY SOUTH,975172,2022,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HEADWAY ACADEMY SOUTH,975172,2023,1,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HENNEPIN GATEWAY TO COLLEGE,240326,2019,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HENNEPIN GATEWAY TO COLLEGE,240326,2020,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HENNEPIN GATEWAY TO COLLEGE,240326,2021,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HENNEPIN GATEWAY TO COLLEGE,240326,2022,0,,,,,
School,INTERMEDIATE SCHOOL DISTRICT 287,24M001,HENNEPIN GATEWAY TO COLLEGE,240326,2023,1,,,,,
School,HENNING INDEPENDENT SCHOOL DISTRICT 545,247578,HENNING PUBLIC SCHOOL,241085,2019,28,19.5,19.5,19.5,19.5,19.5
School,HENNING INDEPENDENT SCHOOL DISTRICT 545,247578,HENNING PUBLIC SCHOOL,241085,2020,29,19.6,19.6,19.6,19.6,19.6
School,HENNING INDEPENDENT SCHOOL DISTRICT 545,247578,HENNING PUBLIC SCHOOL,241085,2021,18,21.5,21.5,21.5,21.5,21.5
School,HENNING INDEPENDENT SCHOOL DISTRICT 545,247578,HENNING PUBLIC SCHOOL,241085,2022,10,19.7,19.7,19.7,19.7,19.7
School,HENNING INDEPENDENT SCHOOL DISTRICT 545,247578,HENNING PUBLIC SCHOOL,241085,2023,20,19.3,19.3,19.3,19.3,19.3
School,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,247310,HERITAGE ACADEMY,241706,2019,27,12.5,12.5,12.5,12.5,12.5
School,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,247310,HERITAGE ACADEMY,241706,2020,36,13.2,13.2,13.2,13.2,13.2
School,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,247310,HERITAGE ACADEMY,241706,2021,3,,,,,
School,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,247310,HERITAGE ACADEMY,241706,2022,13,11.9,11.9,11.9,11.9,11.9
School,MINNEAPOLIS PUBLIC SCHOOL DISTRICT,247310,HERITAGE ACADEMY,241706,2023,20,11.9,11.9,11.9,11.9,11.9
School,HERMAN-NORCROSS COMMUNITY  SCHOOL DISTRICT,247278,HERMAN-NORCROSS COMMUNITY  SCHOOL,241090,2019,4,,,,,
School,HERMAN-NORCROSS COMMUNITY  SCHOOL DISTRICT,247278,HERMAN-NORCROSS COMMUNITY  SCHOOL,241090,2020,12,15.2,15.2,15.2,15.2,15.2
School,HERMAN-NORCROSS COMMUNITY  SCHOOL DISTRICT,247278,HERMAN-NORCROSS COMMUNITY  SCHOOL,241090,2021,2,,,,,
School,HERMAN-NORCROSS COMMUNITY  SCHOOL DISTRICT,247278,HERMAN-NORCROSS COMMUNITY  SCHOOL,241090,2022,10,15.1,15.1,15.1,15.1,15.1
School,HERMAN-NORCROSS COMMUNITY  SCHOOL DISTRICT,247278,HERMAN-NORCROSS COMMUNITY  SCHOOL,241090,2023,4,,,,,
School,HERMANTOWN INDEPENDENT SCHOOL DISTRICT 700,247740,HERMANTOWN HIGH SCHOOL,240660,2019,144,20.6,20.6,20.6,20.6,20.6
School,HERMANTOWN INDEPENDENT SCHOOL DISTRICT 700,247740,HERMANTOWN HIGH SCHOOL,240660,2020,135,20.5,20.5,20.5,20.5,20.5
School,HERMANTOWN INDEPENDENT SCHOOL DISTRICT 700,247740,HERMANTOWN HIGH SCHOOL,240660,2021,110,20.6,20.6,20.6,20.6,20.6
School,HERMANTOWN INDEPENDENT SCHOOL DISTRICT 700,247740,HERMANTOWN HIGH SCHOOL,240660,2022,91,20,20,20,20,20
School,HERMANTOWN INDEPENDENT SCHOOL DISTRICT 700,247740,HERMANTOWN HIGH SCHOOL,240660,2023,95,20.9,20.9,20.9,20.9,20.9
School,HERON LAKE-OKABENA INDEPENDENT SCHOOL DISTRICT 330,247346,HERON LAKE OKABENA HIGH SCHOOL,241315,2019,17,18.6,18.6,18.6,18.6,18.6
School,HERON LAKE-OKABENA INDEPENDENT SCHOOL DISTRICT 330,247346,HERON LAKE OKABENA HIGH SCHOOL,241315,2020,19,16.4,16.4,16.4,16.4,16.4
School,HERON LAKE-OKABENA INDEPENDENT SCHOOL DISTRICT 330,247346,HERON LAKE OKABENA HIGH SCHOOL,241315,2021,16,22.1,22.1,22.1,22.1,22.1
School,HERON LAKE-OKABENA INDEPENDENT SCHOOL DISTRICT 330,247346,HERON LAKE OKABENA HIGH SCHOOL,241315,2022,29,16.8,16.8,16.8,16.8,16.8
School,HERON LAKE-OKABENA INDEPENDENT SCHOOL DISTRICT 330,247346,HERON LAKE OKABENA HIGH SCHOOL,241315,2023,11,17.5,17.5,17.5,17.5,17.5
School,AFFILIATION NOT REPORTED,N/A,HIAWATHA COLLEGIATE HIGH SCHOOL,241651,2019,78,18.7,18.7,18.7,18.7,18.7
School,AFFILIATION NOT REPORTED,N/A,HIAWATHA COLLEGIATE HIGH SCHOOL,241651,2020,141,17,17,17,17,17
School,AFFILIATION NOT REPORTED,N/A,HIAWATHA COLLEGIATE HIGH SCHOOL,241651,2021,10,20.6,20.6,20.6,20.6,20.6
School,AFFILIATION NOT REPORTED,N/A,HIAWATHA COLLEGIATE HIGH SCHOOL,241651,2022,2,,,,,
School,AFFILIATION NOT REPORTED,N/A,HIAWATHA COLLEGIATE HIGH SCHOOL,241651,2023,151,12.7,12.7,12.7,12.7,12.7
